username,distinct_play_days,total_valid_betting,last_play_date,days_since_last_play,status
jiaw189,468,420278943.0,2025-05-01,17,활성
ja2138,401,298261509.0,2023-05-29,720,휴면
jua185,280,127912133.0,2022-09-20,971,휴면
hn2011,620,83709595.0,2023-09-18,608,휴면
ja2215,162,78311023.0,2022-11-20,910,휴면
abya109,274,76957124.0,2024-04-08,405,휴면
xja3012,255,76810573.0,2025-05-07,11,활성
abya107,261,61758936.0,2024-04-08,405,휴면
juaw011,131,59062000.0,2023-02-10,828,휴면
qja2012,101,57871509.0,2023-10-20,576,휴면
ya2103,161,56951579.0,2023-08-30,627,휴면
mm3001,90,55165852.0,2024-09-27,233,휴면
py2004,352,53798612.0,2023-09-06,620,휴면
mm2003,39,42790077.0,2023-09-19,607,휴면
abya103,196,36230069.0,2024-04-08,405,휴면
udd006,159,35151660.0,2022-07-31,1022,휴면
ue2003,470,31098719.0,2023-11-21,544,휴면
ji3118,214,29986252.0,2025-05-08,10,활성
ya3159,59,29394030.0,2025-04-25,23,활성
ji2119,285,29036115.0,2023-06-07,711,휴면
ug3008,59,26714749.0,2024-09-19,241,휴면
ya106,65,26516546.0,2022-09-16,975,휴면
aa3802,234,26475705.0,2025-05-08,10,활성
ui3032,652,25740395.0,2025-05-07,11,활성
ja3136,436,24541297.0,2025-05-08,10,활성
ud001,50,24346864.0,2022-07-16,1037,휴면
qji3119,170,23692465.0,2024-08-04,287,휴면
ji3119,200,23516003.0,2025-05-08,10,활성
pi2008,327,23432740.0,2023-09-20,606,휴면
ua3103,948,22660355.0,2024-12-26,143,휴면
yi2155,506,22430103.0,2023-09-20,606,휴면
hn2123,536,22054591.0,2023-09-20,606,휴면
qji2119,204,21924805.0,2023-11-01,564,휴면
umw010,284,21631400.0,2025-03-08,71,휴면
ud3002,448,21589690.0,2025-04-25,23,활성
abua025,151,21184033.0,2023-12-19,516,휴면
hn2139,52,21157780.0,2023-06-07,711,휴면
jia106e,38,20629349.0,2022-02-25,1178,휴면
uiw005,462,20506300.0,2025-05-07,11,활성
dd2100,81,20192336.0,2023-07-02,686,휴면
yaa195,94,19734058.0,2022-10-03,958,휴면
uq2006,88,18511444.0,2022-11-09,921,휴면
yi3198,217,18351388.0,2025-05-08,10,활성
xu3101,472,17636062.0,2025-04-30,18,활성
qja3012,62,17600892.0,2024-03-06,438,휴면
ya108,29,17489815.0,2022-08-23,999,휴면
ue3012,191,17463004.0,2025-05-04,14,활성
qya3139,160,17462727.0,2025-05-08,10,활성
abya108,86,17023789.0,2024-04-08,405,휴면
udd002,22,16987120.0,2022-09-13,978,휴면
um010,76,16950738.0,2022-09-19,972,휴면
ya102,49,16836300.0,2022-08-13,1009,휴면
ja3197,398,16798808.0,2025-03-12,67,휴면
uu3003,248,16658665.0,2025-05-07,11,활성
qtt3002,172,16589764.0,2024-07-24,298,휴면
hn3102,565,16548758.0,2025-04-25,23,활성
yaa206,167,16535125.0,2022-09-21,970,휴면
juaw197,490,16368214.0,2025-02-12,95,휴면
ya107,48,16306620.0,2022-08-21,1001,휴면
pa3039,337,15987264.0,2025-05-08,10,활성
uh013d,20,15589145.0,2022-03-05,1170,휴면
